"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2007-06,179,monthly,174126,230444,152730,134789,108199,2007-06-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2007-07,211,monthly,177542,235204,155771,137321,110022,2007-07-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2007-08,231,monthly,179832,239054,157608,138881,110588,2007-08-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2007-09,161,monthly,181918,242369,159413,140227,111470,2007-09-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2007-10,176,monthly,181690,242286,159032,139879,111716,2007-10-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2007-11,182,monthly,183280,244628,160276,140881,113144,2007-11-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2007-12,136,monthly,182966,244350,159749,140578,113343,2007-12-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2008-01,110,monthly,178896,238968,156119,137402,111003,2008-01-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2008-02,97,monthly,178377,237811,155907,137143,110837,2008-02-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2008-03,122,monthly,171762,228398,150665,132408,106326,2008-03-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2008-04,115,monthly,171262,227510,150368,132249,105797,2008-04-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2008-05,146,monthly,169749,225137,149278,131448,104508,2008-05-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2008-06,107,monthly,173247,229758,152244,134262,106663,2008-06-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2008-07,115,monthly,171032,226890,150640,132406,104946,2008-07-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2008-08,105,monthly,170839,227214,150319,132049,104431,2008-08-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2008-09,75,monthly,168884,225649,148266,129914,103052,2008-09-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2008-10,127,monthly,170216,227614,149399,130759,103915,2008-10-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2008-11,68,monthly,163947,218969,144063,125736,100652,2008-11-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2008-12,99,monthly,161321,214974,141955,124027,99041,2008-12-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2009-01,45,monthly,161053,215218,141219,123661,98856,2009-01-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2009-02,64,monthly,157541,210794,138058,120928,96524,2009-02-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2009-03,74,monthly,154124,206363,135019,118098,94818,2009-03-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2009-04,80,monthly,147564,196657,129889,113557,90771,2009-04-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2009-05,99,monthly,150840,201042,132807,116228,92218,2009-05-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2009-06,98,monthly,149409,199167,131601,115305,90590,2009-06-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2009-07,131,monthly,153398,205114,134818,118225,92184,2009-07-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2009-08,107,monthly,148010,198189,130011,114022,88355,2009-08-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2009-09,116,monthly,150857,202141,132484,116167,89799,2009-09-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2009-10,125,monthly,151247,202667,132952,116433,89751,2009-10-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2009-11,112,monthly,158358,212547,138819,121954,93806,2009-11-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2009-12,151,monthly,162028,216866,142372,125302,95658,2009-12-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2010-01,54,monthly,160241,215058,140412,123732,94311,2010-01-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2010-02,64,monthly,159959,215169,140267,123033,93692,2010-02-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2010-03,96,monthly,157269,212325,137478,120349,92242,2010-03-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2010-04,92,monthly,159541,215183,139645,122123,93617,2010-04-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2010-05,88,monthly,158047,213030,138092,121244,93018,2010-05-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2010-06,120,monthly,158941,214084,138898,122231,93182,2010-06-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2010-07,139,monthly,158429,214048,138170,121670,92245,2010-07-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2010-08,96,monthly,153733,207898,134361,117831,88926,2010-08-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2010-09,119,monthly,153287,208059,133792,117036,88172,2010-09-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2010-10,125,monthly,157018,213052,137248,119715,90446,2010-10-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2010-11,131,monthly,158597,215416,138450,120760,91571,2010-11-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2010-12,122,monthly,155319,210747,135815,118253,89747,2010-12-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2011-01,59,monthly,157055,213522,137048,119419,90696,2011-01-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2011-02,63,monthly,159114,216269,138756,121122,91955,2011-02-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2011-03,104,monthly,160648,218720,139654,122273,92957,2011-03-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2011-04,90,monthly,157119,213480,136654,119909,91080,2011-04-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2011-05,108,monthly,154864,210153,134810,118278,90035,2011-05-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2011-06,99,monthly,154823,209856,135139,118178,90022,2011-06-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2011-07,104,monthly,149131,201828,130307,113949,86993,2011-07-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2011-08,98,monthly,152847,207339,133628,116566,88035,2011-08-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2011-09,110,monthly,150173,204316,131024,114352,85799,2011-09-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2011-10,119,monthly,151435,206776,132076,114805,85856,2011-10-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2011-11,126,monthly,149361,203877,130311,113096,85281,2011-11-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2011-12,102,monthly,150540,205449,131549,113800,86142,2011-12-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2012-01,77,monthly,155440,212157,136075,117426,88433,2012-01-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2012-02,86,monthly,155061,211582,135677,117407,87682,2012-02-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2012-03,73,monthly,153515,208596,134629,116846,86841,2012-03-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2012-04,69,monthly,149381,202853,130715,113849,85172,2012-04-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2012-05,93,monthly,149149,202365,130642,113635,85318,2012-05-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2012-06,104,monthly,152526,207554,133179,116083,86885,2012-06-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2012-07,97,monthly,152695,207722,133200,116545,86562,2012-07-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2012-08,109,monthly,152153,207156,132529,116352,85658,2012-08-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2012-09,101,monthly,150101,204376,130830,114708,84439,2012-09-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2012-10,138,monthly,149088,203019,130125,113713,83961,2012-10-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2012-11,143,monthly,150558,204870,131591,114781,84911,2012-11-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2012-12,105,monthly,153958,209725,134502,117272,86607,2012-12-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2013-01,82,monthly,157083,213808,137507,119705,88027,2013-01-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2013-02,90,monthly,153695,209115,134530,117150,86303,2013-02-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2013-03,86,monthly,150652,204786,131968,114836,84815,2013-03-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2013-04,117,monthly,147025,200000,128603,112099,82670,2013-04-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2013-05,111,monthly,145183,197446,126940,110744,81765,2013-05-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2013-06,127,monthly,146926,199721,128539,112213,82427,2013-06-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2013-07,111,monthly,146777,199253,128389,112312,82586,2013-07-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2013-08,117,monthly,154891,210576,135454,118391,86610,2013-08-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2013-09,151,monthly,157145,213940,137198,119937,88021,2013-09-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2013-10,153,monthly,158565,216387,138370,120628,88545,2013-10-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2013-11,159,monthly,153402,209470,134041,116410,85729,2013-11-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2013-12,162,monthly,148665,202735,130242,112783,83234,2013-12-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2014-01,106,monthly,147287,200807,129032,111751,82590,2014-01-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2014-02,124,monthly,145953,199170,127730,110753,81615,2014-02-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2014-03,138,monthly,147341,201124,128969,111791,82127,2014-03-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2014-04,122,monthly,147736,201511,129393,112285,82099,2014-04-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2014-05,123,monthly,149080,202924,130623,113601,83048,2014-05-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2014-06,148,monthly,151017,205601,132302,115110,83994,2014-06-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2014-07,173,monthly,152963,208283,134040,116587,84944,2014-07-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2014-08,155,monthly,154988,211456,135667,118011,85657,2014-08-01
